,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
183,2018/2019,2012/2013,5,Female + male,Allied health,"University of the West of England, Bristol",27000,21200,27000,30700
184,2018/2019,2012/2013,5,Female + male,Allied health,University of Wales Trinity Saint David,20400,12900,20400,22700
185,2018/2019,2012/2013,5,Female + male,Allied health,"University of Wales, Newport",17900,14600,17900,21200
186,2018/2019,2012/2013,5,Female + male,Allied health,University of Worcester,19000,15000,19000,28500
187,2018/2019,2012/2013,5,Female + male,Allied health,York St John University,24800,17500,24800,28800
188,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Blackburn College,c,c,c,c
189,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Guildford College of Further and Higher Education,55100,25200,55100,68600
190,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Hadlow College,19700,14600,19700,32800
191,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Hull College,c,c,c,c
192,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Macclesfield College,34900,26300,34900,45400
193,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Moulton College,c,c,c,c
194,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Sparsholt College,c,c,c,c
195,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",The Oldham College,c,c,c,c
196,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Anglia Ruskin University,52500,38300,52500,64600
197,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Aston University,c,c,c,c
198,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Birmingham City University,32100,23000,32100,43400
199,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Bournemouth University,c,c,c,c
200,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Cardiff Metropolitan University,28800,24100,28800,35000
201,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Cardiff University,35200,28500,35200,40200
202,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Coventry University,39800,28500,39800,48200
203,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",De Montfort University,27200,23600,27200,38000
204,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Edinburgh Napier University,31300,23400,31300,43800
205,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Glasgow Caledonian University,41200,31000,41200,49600
206,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Glasgow School of Art,29200,17000,29200,35900
207,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Glyndwr University,25200,17900,25200,30700
208,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Heriot-Watt University,32800,25100,32800,42000
209,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Kingston University,39100,27400,39100,52200
210,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Leeds Beckett University,34300,26300,34300,44200
211,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Liverpool John Moores University,34300,24800,34300,46000
212,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",London Metropolitan University,32800,26700,32800,36400
213,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",London South Bank University,35000,23700,35000,52900
214,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Loughborough University,46900,34500,46900,55500
215,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Middlesex University,27400,12400,27400,46700
216,2018/2019,2012/2013,5,Female + male,"Architecture, building and planning",Oxford Brookes University,40000,27900,40000,55300
